Í∏∞Í∞Ñ	?êÏπòÍµ????∏Î?	Í≥?Í≥?Í≥??úÍµ≠???úÍµ≠???úÍµ≠???±Î°ù?∏Íµ≠???±Î°ù?∏Íµ≠???±Î°ù?∏Íµ≠???∏Î??πÏù∏Íµ?65?∏Ïù¥?ÅÍ≥†?πÏûê												
Í∏∞Í∞Ñ	?êÏπòÍµ????∏Î?	?∏Íµ¨	?®Ïûê	?¨Ïûê	?∏Íµ¨	?®Ïûê	?¨Ïûê	?∏Íµ¨	?®Ïûê	?¨Ïûê	?∏Î??πÏù∏Íµ?65?∏Ïù¥?ÅÍ≥†?πÏûê			
2008.2/4	Ï§ëÍµ¨	"?†Îãπ6??4,647"	"12,025"	"5,895"	"6,130"	"11,847"	"5,817"	"6,030"	178	78	100	2.55	"1,190"	
2008.2/4	Ï§ëÍµ¨	"?©Ìïô??4,293"	"9,914"	"5,042"	"4,872"	"9,132"	"4,665"	"4,467"	782	377	405	2.13	"1,038"	
2008.2/4	Ï§ëÍµ¨	"Ï§ëÎ¶º??5,596"	"13,323"	"6,596"	"6,727"	"12,965"	"6,424"	"6,541"	358	172	186	2.32	"1,556"	
2008.2/4	?©ÏÇ∞Íµ??©Í≥Ñ	"105,612"	"249,475"	"122,775"	"126,700"	"236,737"	"116,121"	"120,616"	"12,738"	"6,654"	"6,084"	2.22	"26,345"	
2008.2/4	"?©ÏÇ∞Íµ??ÑÏïî??8,752"	"20,515"	"10,198"	"10,317"	"19,926"	"9,934"	"9,992"	589	264	325	2.26	"2,082"		
2008.2/4	"?©ÏÇ∞Íµ??©ÏÇ∞2Í∞Ä??5,799"	"14,045"	"7,040"	"7,005"	"13,132"	"6,507"	"6,625"	913	533	380	2.25	"1,502"		
2008.2/4	"?©ÏÇ∞Íµ??®ÏòÅ??4,446"	"7,977"	"4,567"	"3,410"	"7,456"	"4,321"	"3,135"	521	246	275	1.67	921		
2008.2/4	"?©ÏÇ∞Íµ??êÌö®Î°???4,645"	"10,653"	"5,376"	"5,277"	"10,186"	"5,155"	"5,031"	467	221	246	2.16	"1,023"		
2008.2/4	"?©ÏÇ∞Íµ??êÌö®Î°???6,223"	"16,445"	"7,916"	"8,529"	"16,216"	"7,816"	"8,400"	229	100	129	2.58	"1,604"		
2008.2/4	"?©ÏÇ∞Íµ??®Ï∞Ω??4,126"	"10,690"	"5,251"	"5,439"	"10,549"	"5,189"	"5,360"	141	62	79	2.53	"1,131"		
2008.2/4	"?©ÏÇ∞Íµ??©Î¨∏??4,747"	"12,825"	"6,303"	"6,522"	"12,641"	"6,221"	"6,420"	184	82	102	2.63	"1,279"		
2008.2/4	"?©ÏÇ∞Íµ??¥Ï¥å1??9,877"	"28,787"	"13,742"	"15,045"	"26,862"	"12,672"	"14,190"	"1,925"	"1,070"	855	2.69	"2,856"		
2008.2/4	"?©ÏÇ∞Íµ??¥Ï¥å2??4,404"	"10,548"	"5,046"	"5,502"	"10,506"	"5,026"	"5,480"	42	20	22	2.35	"1,200"		
2008.2/4	"?©ÏÇ∞Íµ??¥ÌÉú????4,355"	"10,370"	"5,094"	"5,276"	"8,523"	"4,032"	"4,491"	"1,847"	"1,062"	785	1.95	"1,174"		
2008.2/4	"?©ÏÇ∞Íµ??¥ÌÉú????5,170"	"11,720"	"5,608"	"6,112"	"11,350"	"5,395"	"5,955"	370	213	157	2.17	"1,521"		
2008.2/4	?©ÏÇ∞Íµ??úÎπôÍ≥†Îèô	"4,804"	"11,880"	"5,790"	"6,090"	"11,377"	"5,543"	"5,834"	503	247	256	2.35	"1,543"	
2008.2/4	"?©ÏÇ∞Íµ?Î≥¥Í¥ë??8,884"	"19,389"	"9,435"	"9,954"	"18,600"	"9,013"	"9,587"	789	422	367	2.08	"2,027"		
2008.2/4	"?©ÏÇ∞Íµ?Ï≤?åå??10,817"	"23,673"	"11,497"	"12,176"	"22,940"	"11,198"	"11,742"	733	299	434	2.1	"2,259"		
2008.2/4	?©ÏÇ∞Íµ??úÍ∞ïÎ°úÎèô	"7,184"	"15,182"	"7,689"	"7,493"	"14,421"	"7,322"	"7,099"	761	367	394	1.99	"1,816"	
2008.2/4	"?©ÏÇ∞Íµ??úÎÇ®??11,379"	"24,776"	"12,223"	"12,553"	"22,052"	"10,777"	"11,275"	"2,724"	"1,446"	"1,278"	1.92	"2,407"		
2008.2/4	?±ÎèôÍµ??©Í≥Ñ	"133,759"	"336,190"	"168,565"	"167,625"	"327,370"	"164,281"	"163,089"	"8,820"	"4,284"	"4,536"	2.42	"29,795"	
2008.2/4	"?±ÎèôÍµ??ïÏã≠Î¶???4,587"	"11,473"	"5,875"	"5,598"	"10,804"	"5,530"	"5,274"	669	345	324	2.34	"1,054"		
2008.2/4	"?±ÎèôÍµ??ïÏã≠Î¶???7,399"	"18,990"	"9,407"	"9,583"	"18,813"	"9,334"	"9,479"	177	73	104	2.52	"1,665"		
2008.2/4	"?±ÎèôÍµ??ÑÏÑ†??4,070"	"9,927"	"4,948"	"4,979"	"9,598"	"4,813"	"4,785"	329	135	194	2.33	"1,105"		
2008.2/4	"?±ÎèôÍµ?ÎßàÏû•??10,052"	"26,499"	"13,340"	"13,159"	"25,970"	"13,081"	"12,889"	529	259	270	2.56	"2,395"		
2008.2/4	"?±ÎèôÍµ??¨Í∑º??5,444"	"11,984"	"6,410"	"5,574"	"10,849"	"5,857"	"4,992"	"1,135"	553	582	1.98	"1,089"		
2008.2/4	"?±ÎèôÍµ??âÎãπ1??7,753"	"18,428"	"9,117"	"9,311"	"18,189"	"9,005"	"9,184"	239	112	127	2.32	"1,722"		
2008.2/4	"?±ÎèôÍµ??âÎãπ2??9,062"	"25,650"	"12,392"	"13,258"	"25,559"	"12,358"	"13,201"	91	34	57	2.79	"2,096"		
2008.2/4	"?±ÎèôÍµ??ëÎ¥â??6,508"	"17,766"	"8,523"	"9,243"	"17,668"	"8,483"	"9,185"	98	40	58	2.68	"1,607"		
2008.2/4	"?±ÎèôÍµ?Í∏àÌò∏1Í∞Ä??7,176"	"18,761"	"9,170"	"9,591"	"18,570"	"9,093"	"9,477"	191	77	114	2.56	"1,755"		
2008.2/4	"?±ÎèôÍµ?Í∏àÌò∏2Í∞Ä??4,805"	"11,793"	"5,845"	"5,948"	"11,646"	"5,778"	"5,868"	147	67	80	2.41	"1,219"		
2008.2/4	"?±ÎèôÍµ?Í∏àÌò∏3Í∞Ä??6,257"	"15,730"	"7,590"	"8,140"	"15,538"	"7,502"	"8,036"	192	88	104	2.46	"1,591"		
2008.2/4	"?±ÎèôÍµ?Í∏àÌò∏4Í∞Ä??6,590"	"15,938"	"7,906"	"8,032"	"15,661"	"7,782"	"7,879"	277	124	153	2.35	"1,454"		
2008.2/4	"?±ÎèôÍµ??•Ïàò1??4,791"	"11,748"	"6,027"	"5,721"	"11,148"	"5,737"	"5,411"	600	290	310	2.31	"1,297"		
2008.2/4	"?±ÎèôÍµ??•Ïàò2??7,129"	"17,911"	"8,581"	"9,330"	"17,779"	"8,518"	"9,261"	132	63	69	2.46	"1,764"		
2008.2/4	"?±ÎèôÍµ??±Ïàò1Í∞Ä1??7,465"	"19,447"	"10,013"	"9,434"	"18,801"	"9,675"	"9,126"	646	338	308	2.49	"1,352"		
2008.2/4	"?±ÎèôÍµ??±Ïàò1Í∞Ä2??8,276"	"19,783"	"10,028"	"9,755"	"19,480"	"9,874"	"9,606"	303	154	149	2.33	"1,449"		
2008.2/4	"?±ÎèôÍµ??±Ïàò2Í∞Ä1??8,341"	"21,174"	"11,005"	"10,169"	"20,013"	"10,414"	"9,599"	"1,161"	591	570	2.38	"1,593"		
2008.2/4	"?±ÎèôÍµ??±Ïàò2Í∞Ä3??5,181"	"12,578"	"6,448"	"6,130"	"12,147"	"6,198"	"5,949"	431	250	181	2.32	"1,065"		
2008.2/4	"?±ÎèôÍµ??°Ï†ï??5,436"	"12,464"	"6,577"	"5,887"	"11,989"	"6,355"	"5,634"	475	222	253	2.19	960		
2008.2/4	"?±ÎèôÍµ??©Îãµ??7,437"	"18,146"	"9,363"	"8,783"	"17,148"	"8,894"	"8,254"	998	469	529	2.29	"1,563"		
2008.2/4	Í¥ëÏßÑÍµ??©Í≥Ñ	"155,265"	"388,357"	"192,486"	"195,871"	"377,180"	"187,248"	"189,932"	"11,177"	"5,238"	"5,939"	2.41	"27,677"	
2008.2/4	"Í¥ëÏßÑÍµ??îÏñë??11,868"	"23,388"	"11,592"	"11,796"	"21,465"	"10,669"	"10,796"	"1,923"	923	"1,000"	1.8	"1,573"		
2008.2/4	"Í¥ëÏßÑÍµ?Íµ∞Ïûê??9,870"	"22,510"	"11,363"	"11,147"	"21,864"	"11,069"	"10,795"	646	294	352	2.2	"1,766"		
2008.2/4	"Í¥ëÏßÑÍµ?Ï§ëÍ≥°1??7,399"	"17,733"	"8,789"	"8,944"	"17,025"	"8,482"	"8,543"	708	307	401	2.28	"1,306"		
2008.2/4	"Í¥ëÏßÑÍµ?Ï§ëÍ≥°2??9,111"	"23,097"	"11,349"	"11,748"	"22,924"	"11,282"	"11,642"	173	67	106	2.5	"1,656"		
2008.2/4	"Í¥ëÏßÑÍµ?Ï§ëÍ≥°3??8,272"	"20,272"	"10,142"	"10,130"	"20,117"	"10,074"	"10,043"	155	68	87	2.41	"1,495"		
2008.2/4	"Í¥ëÏßÑÍµ?Ï§ëÍ≥°4??12,242"	"32,704"	"16,277"	"16,427"	"32,568"	"16,218"	"16,350"	136	59	77	2.64	"2,471"		
2008.2/4	Í¥ëÏßÑÍµ??•Îèô	"4,958"	"10,918"	"5,320"	"5,598"	"10,701"	"5,218"	"5,483"	217	102	115	2.13	902	
2008.2/4	"Í¥ëÏßÑÍµ?Íµ¨Ïùò1??10,796"	"24,576"	"11,972"	"12,604"	"23,468"	"11,451"	"12,017"	"1,108"	521	587	2.15	"1,794"		
2008.2/4	"Í¥ëÏßÑÍµ?Íµ¨Ïùò2??10,279"	"26,760"	"13,267"	"13,493"	"26,527"	"13,185"	"13,342"	233	82	151	2.56	"2,205"		
2008.2/4	"Í¥ëÏßÑÍµ?Íµ¨Ïùò3??11,508"	"30,425"	"14,827"	"15,598"	"30,292"	"14,776"	"15,516"	133	51	82	2.61	"2,118"		
2008.2/4	"Í¥ëÏßÑÍµ?Í¥ëÏû•??12,224"	"36,576"	"17,884"	"18,692"	"36,221"	"17,715"	"18,506"	355	169	186	2.94	"2,291"		
2008.2/4	"Í¥ëÏßÑÍµ??êÏñë1??10,968"	"26,256"	"13,003"	"13,253"	"24,740"	"12,299"	"12,441"	"1,516"	704	812	2.23	"1,943"		
2008.2/4	"Í¥ëÏßÑÍµ??êÏñë2??11,415"	"29,686"	"14,904"	"14,782"	"29,532"	"14,832"	"14,700"	154	72	82	2.56	"1,999"		
2008.2/4	"Í¥ëÏßÑÍµ??êÏñë3??11,403"	"32,314"	"16,049"	"16,265"	"31,784"	"15,786"	"15,998"	530	263	267	2.76	"1,847"		
2008.2/4	"Í¥ëÏßÑÍµ??êÏñë4??12,952"	"31,142"	"15,748"	"15,394"	"27,952"	"14,192"	"13,760"	"3,190"	"1,556"	"1,634"	2.14	"2,311"		
2008.2/4	?ôÎ?Î¨∏Íµ¨	?©Í≥Ñ	"157,461"	"386,011"	"193,924"	"192,087"	"375,177"	"189,049"	"186,128"	"10,834"	"4,875"	"5,959"	2.36	"37,800"
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?†ÏÑ§??4,056"	"9,733"	"4,983"	"4,750"	"8,853"	"4,583"	"4,270"	880	400	480	2.17	"1,004"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?©Îëê1??4,309"	"9,204"	"4,777"	"4,427"	"8,739"	"4,560"	"4,179"	465	217	248	2.02	"1,280"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?©Îëê2??4,839"	"10,592"	"5,506"	"5,086"	"10,312"	"5,375"	"4,937"	280	131	149	2.12	"1,183"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?úÍ∏∞1??6,002"	"14,260"	"7,205"	"7,055"	"13,400"	"6,826"	"6,574"	860	379	481	2.21	"1,807"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?úÍ∏∞2??7,204"	"16,561"	"8,432"	"8,129"	"16,269"	"8,297"	"7,972"	292	135	157	2.24	"1,910"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?ÑÎÜç1??6,211"	"15,229"	"7,679"	"7,550"	"14,644"	"7,430"	"7,214"	585	249	336	2.34	"1,663"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?ÑÎÜç2??3,622"	"7,080"	"3,838"	"3,242"	"7,023"	"3,815"	"3,208"	57	23	34	1.93	856	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?ÑÎÜç3??7,110"	"19,630"	"9,704"	"9,926"	"19,539"	"9,665"	"9,874"	91	39	52	2.73	"1,979"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?ÑÎÜç4??5,624"	"13,387"	"6,800"	"6,587"	"13,268"	"6,753"	"6,515"	119	47	72	2.35	"1,436"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?µÏã≠Î¶???4,527"	"11,561"	"5,760"	"5,801"	"11,071"	"5,551"	"5,520"	490	209	281	2.43	"1,024"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?µÏã≠Î¶???5,734"	"15,700"	"7,832"	"7,868"	"15,617"	"7,793"	"7,824"	83	39	44	2.7	"1,511"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?µÏã≠Î¶???2,016"	"4,951"	"2,505"	"2,446"	"4,900"	"2,474"	"2,426"	51	31	20	2.41	662	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?µÏã≠Î¶???5,828"	"15,608"	"7,756"	"7,852"	"15,476"	"7,700"	"7,776"	132	56	76	2.63	"1,404"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?µÏã≠Î¶???4,533"	"10,728"	"5,478"	"5,250"	"10,554"	"5,410"	"5,144"	174	68	106	2.3	"1,038"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?•Ïïà1??7,742"	"19,145"	"9,692"	"9,453"	"18,320"	"9,356"	"8,964"	825	336	489	2.35	"1,626"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?•Ïïà2??6,451"	"17,739"	"9,021"	"8,718"	"17,632"	"8,982"	"8,650"	107	39	68	2.7	"1,140"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?•Ïïà3??6,455"	"18,158"	"9,055"	"9,103"	"18,058"	"9,015"	"9,043"	100	40	60	2.77	"1,355"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?•Ïïà4??5,927"	"15,010"	"7,523"	"7,487"	"14,904"	"7,489"	"7,415"	106	34	72	2.5	"1,424"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"Ï≤?üâÎ¶???5,787"	"15,321"	"7,609"	"7,712"	"14,745"	"7,352"	"7,393"	576	257	319	2.53	"1,974"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"Ï≤?üâÎ¶???4,958"	"11,020"	"5,538"	"5,482"	"10,634"	"5,352"	"5,282"	386	186	200	2.13	"1,472"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?åÍ∏∞??5,520"	"12,074"	"5,915"	"6,159"	"11,079"	"5,452"	"5,627"	995	463	532	1.99	"1,084"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?òÍ≤Ω1??8,091"	"18,401"	"9,182"	"9,219"	"17,442"	"8,747"	"8,695"	959	435	524	2.14	"1,637"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?òÍ≤Ω2??10,016"	"25,662"	"12,645"	"13,017"	"25,492"	"12,563"	"12,929"	170	82	88	2.52	"2,144"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?¥Î¨∏1??6,593"	"15,532"	"7,730"	"7,802"	"14,191"	"7,066"	"7,125"	"1,341"	664	677	2.13	"1,363"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?¥Î¨∏2??9,396"	"19,722"	"9,847"	"9,875"	"19,164"	"9,597"	"9,567"	558	250	308	2.03	"1,805"	
2008.2/4	?ôÎ?Î¨∏Íµ¨	"?¥Î¨∏3??8,910"	"24,003"	"11,912"	"12,091"	"23,851"	"11,846"	"12,005"	152	66	86	2.64	"2,019"	
2008.2/4	Ï§ëÎûëÍµ??©Í≥Ñ	"169,669"	"432,661"	"216,059"	"216,602"	"427,708"	"214,085"	"213,623"	"4,953"	"1,974"	"2,979"	2.5	"36,128"	
2008.2/4	"Ï§ëÎûëÍµ?Î©¥Î™©2??11,713"	"28,827"	"14,561"	"14,266"	"28,615"	"14,476"	"14,139"	212	85	127	2.42	"2,327"		
2008.2/4	"Ï§ëÎûëÍµ?Î©¥Î™©4??10,207"	"24,305"	"11,803"	"12,502"	"24,137"	"11,730"	"12,407"	168	73	95	2.34	"1,993"		
2008.2/4	"Ï§ëÎûëÍµ?Î©¥Î™©5??6,174"	"15,038"	"7,664"	"7,374"	"14,906"	"7,620"	"7,286"	132	44	88	2.39	"1,323"		
2008.2/4	"Ï§ëÎûëÍµ?Î©¥Î™©7??10,593"	"26,936"	"13,474"	"13,462"	"26,782"	"13,419"	"13,363"	154	55	99	2.5	"2,252"		
2008.2/4	"Ï§ëÎûëÍµ??ÅÎ¥â1??9,292"	"26,710"	"13,214"	"13,496"	"26,331"	"13,049"	"13,282"	379	165	214	2.81	"2,025"		
2008.2/4	"Ï§ëÎûëÍµ??ÅÎ¥â2??8,703"	"19,197"	"9,718"	"9,479"	"18,997"	"9,632"	"9,365"	200	86	114	2.16	"1,691"		
2008.2/4	"Ï§ëÎûëÍµ?Ï§ëÌôî1??8,144"	"22,756"	"11,333"	"11,423"	"22,202"	"11,113"	"11,089"	554	220	334	2.7	"1,685"		
2008.2/4	"Ï§ëÎûëÍµ?Ï§ëÌôî2??14,515"	"32,934"	"16,758"	"16,176"	"32,513"	"16,578"	"15,935"	421	180	241	2.22	"2,955"		
2008.2/4	"Ï§ëÎûëÍµ?Î¨???12,595"	"35,008"	"17,294"	"17,714"	"34,699"	"17,172"	"17,527"	309	122	187	2.73	"2,973"		
2008.2/4	"Ï§ëÎûëÍµ?Î¨???8,153"	"20,472"	"10,380"	"10,092"	"20,368"	"10,345"	"10,023"	104	35	69	2.48	"1,782"		
2008.2/4	"Ï§ëÎûëÍµ?ÎßùÏö∞3??8,178"	"20,364"	"10,261"	"10,103"	"20,244"	"10,219"	"10,025"	120	42	78	2.46	"1,704"		
2008.2/4	"Ï§ëÎûëÍµ??†ÎÇ¥1??9,982"	"29,351"	"14,600"	"14,751"	"29,072"	"14,468"	"14,604"	279	132	147	2.89	"2,414"		
2008.2/4	"Ï§ëÎûëÍµ??†ÎÇ¥2??9,401"	"26,408"	"12,938"	"13,470"	"26,365"	"12,921"	"13,444"	43	17	26	2.77	"2,063"		
2008.2/4	Ï§ëÎûëÍµ?Î©¥Î™©Î≥∏Îèô	"15,554"	"38,620"	"19,107"	"19,513"	"37,405"	"18,647"	"18,758"	"1,215"	460	755	2.39	"3,123"	
2008.2/4	"Ï§ëÎûëÍµ?Î©¥Î™©3.8??12,684"	"30,964"	"15,551"	"15,413"	"30,769"	"15,470"	"15,299"	195	81	114	2.41	"2,701"		
2008.2/4	Ï§ëÎûëÍµ?ÎßùÏö∞Î≥∏Îèô	"13,781"	"34,771"	"17,403"	"17,368"	"34,303"	"17,226"	"17,077"	468	177	291	2.47	"3,117"	
2008.2/4	?±Î∂ÅÍµ??©Í≥Ñ	"189,155"	"480,301"	"237,893"	"242,408"	"472,496"	"234,443"	"238,053"	"7,805"	"3,450"	"4,355"	2.47	"45,879"	
2008.2/4	"?±Î∂ÅÍµ??àÏïî1??6,633"	"18,006"	"8,758"	"9,248"	"17,956"	"8,739"	"9,217"	50	19	31	2.68	"1,713"		
2008.2/4	"?±Î∂ÅÍµ??àÏïî2??8,653"	"24,714"	"12,058"	"12,656"	"24,669"	"12,042"	"12,627"	45	16	29	2.82	"2,165"		
2008.2/4	"?±Î∂ÅÍµ??àÏïî??8,575"	"18,782"	"9,569"	"9,213"	"17,462"	"8,945"	"8,517"	"1,320"	624	696	2.02	"1,587"		
2008.2/4	"?±Î∂ÅÍµ?Î≥¥Î¨∏??7,615"	"17,870"	"8,878"	"8,992"	"17,518"	"8,737"	"8,781"	352	141	211	2.28	"1,774"		
2008.2/4	"?±Î∂ÅÍµ??ïÎä•1??6,672"	"18,838"	"8,990"	"9,848"	"18,178"	"8,706"	"9,472"	660	284	376	2.7	"1,904"		
2008.2/4	"?±Î∂ÅÍµ??ïÎä•2??9,296"	"24,428"	"12,201"	"12,227"	"24,338"	"12,158"	"12,180"	90	43	47	2.59	"2,478"		
